price_billion,area_m2,bedrooms_num,district,direction,furniture_std,legal_std,floors_num,frontage_m,road_width_m
7.97,23.0,3.0,Đống Đa,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,6.0,3.5,3.3
14.0,40.0,5.0,Nam Từ Liêm,Không rõ,Không rõ,Không rõ,5.0,4.5,3.5
10.0,40.0,5.0,Nam Từ Liêm,Không rõ,Không rõ,Không rõ,5.5,4.5,3.5
19.5,63.0,4.0,Cầu Giấy,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,6.0,4.8,6.0
29.0,123.0,5.0,Thanh Xuân,Không rõ,Không rõ,Không rõ,5.0,8.1,4.0
23.0,154.0,4.0,Ba Đình,Đông,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,12.0,3.5
35.9,92.0,4.0,Bắc Từ Liêm,Tây - Nam,Đầy đủ,Sổ đỏ/Sổ hồng,7.0,5.0,50.0
27.9,95.0,25.0,Hoàng Mai,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,7.0,6.45,4.0
45.0,90.0,18.0,Đống Đa,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,8.0,5.0,5.0
39.0,70.0,21.0,Đống Đa,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,9.0,7.0,3.3
23.5,82.0,4.0,Long Biên,Không rõ,Đầy đủ,Không rõ,7.0,5.0,5.0
14.5,51.9,7.0,Long Biên,Đông - Bắc,Đầy đủ,Sổ đỏ/Sổ hồng,6.0,3.6,4.0
9.5,32.0,3.0,Cầu Giấy,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,5.0,4.8,6.0
9.28,49.0,5.0,Hai Bà Trưng,Tây - Nam,Đầy đủ,Sổ đỏ/Sổ hồng,4.0,4.5,3.0
11.49,45.0,4.5,Bắc Từ Liêm,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,6.0,5.0
15.5,72.0,4.0,Long Biên,Đông - Bắc,Đầy đủ,Sổ đỏ/Sổ hồng,7.0,4.5,5.0
14.9,54.6,5.0,Cầu Giấy,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,6.0,4.8,5.0
22.8,84.0,4.0,Hà Đông,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,4.0,5.0,12.0
12.9,40.0,4.0,Hà Đông,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,5.0,4.5,4.0
18.95,85.0,5.0,Thanh Xuân,Tây - Nam,Đầy đủ,Sổ đỏ/Sổ hồng,4.0,4.0,3.5
49.5,90.0,5.0,Cầu Giấy,Không rõ,Cơ bản,Sổ đỏ/Sổ hồng,8.0,5.9,6.0
9.1,42.0,4.0,Ba Đình,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,6.0,5.0,4.0
8.5,45.0,4.0,Đống Đa,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,5.0,4.5,3.3
11.5,50.0,8.0,Hoàng Mai,Nam,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.25,4.0
10.9,48.0,4.0,Ba Đình,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,6.0,5.0,4.0
9.85,43.0,6.0,Nam Từ Liêm,Đông - Bắc,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.0,3.0
5.35,17.0,2.0,Đống Đa,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,5.0,3.1,3.3
13.8,52.0,3.0,Hà Đông,Không rõ,Không rõ,Không rõ,2.0,4.0,6.0
3.8,35.0,3.0,Hà Đông,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.5,4.0
12.0,51.0,10.0,Nam Từ Liêm,Tây - Bắc,Đầy đủ,Sổ đỏ/Sổ hồng,6.0,3.8,3.5
27.0,110.0,17.0,Hà Đông,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.5,4.0
4.0,50.0,4.0,Hà Đông,Không rõ,Cơ bản,Sổ đỏ/Sổ hồng,5.0,4.5,4.0
13.9,70.0,4.0,Long Biên,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,6.0,5.0,7.5
13.4,48.0,6.0,Hà Đông,Đông - Nam,Cơ bản,Sổ đỏ/Sổ hồng,5.0,3.5,4.0
7.0,31.0,3.0,Hà Đông,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,5.0,4.5,4.0
20.5,50.0,6.0,Đống Đa,Đông - Nam,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.2,3.0
12.5,80.0,5.0,Bắc Từ Liêm,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,4.0,6.0,5.0
20.0,81.0,16.0,Nam Từ Liêm,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,7.0,4.5,3.5
24.9,50.0,7.0,Cầu Giấy,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.8,6.0
21.5,205.0,4.0,Khác,Tây - Nam,Cơ bản,Sổ đỏ/Sổ hồng,3.0,7.0,4.0
31.0,100.0,5.0,Tây Hồ,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,5.0,6.0,5.0
19.5,35.0,3.0,Đống Đa,Không rõ,Cơ bản,Sổ đỏ/Sổ hồng,6.0,3.8,4.0
9.9,33.0,4.0,Thanh Xuân,Đông - Nam,Không rõ,Sổ đỏ/Sổ hồng,5.0,3.2,3.0
20.0,94.0,1.0,Long Biên,Tây,Không nội thất,Sổ đỏ/Sổ hồng,5.0,5.0,6.0
27.5,50.0,4.0,Đống Đa,Không rõ,Không rõ,Không rõ,5.0,8.0,3.3
10.4,57.0,3.0,Ba Đình,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,5.0,4.0
8.86,55.0,4.0,Hoài Đức,Không rõ,Không rõ,Không rõ,4.0,4.6,3.25
7.8,34.0,3.0,Thanh Xuân,Đông - Bắc,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.0,4.0
9.9,38.0,3.0,Ba Đình,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,3.8,4.0
19.19,56.0,6.0,Hai Bà Trưng,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,9.0,4.5,3.0
15.9,65.0,4.0,Long Biên,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,4.0,5.1,5.0
12.5,52.5,6.0,Bắc Từ Liêm,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,6.0,3.6,2.5
13.89,46.0,9.0,Đống Đa,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,6.0,4.5,3.3
25.3,81.0,13.0,Đống Đa,Đông - Nam,Đầy đủ,Sổ đỏ/Sổ hồng,7.0,4.5,3.0
10.2,53.1,6.0,Hà Đông,Không rõ,Cơ bản,Sổ đỏ/Sổ hồng,5.0,4.5,4.0
