model,RMSE,MAE,R2,MSE,MAPE
XGBoost,4.880859163472975,2.484693318531549,0.7856078020283231,,
Transformer,5.357630320578076,2.6754205226898193,0.7411049604415894,28.70420265197754,0.2869153320789337
