Property Type,Model,R2,MAE,RMSE,MAPE,MSE
Apartment,Transformer,0.6450755000114441,1.7821446657180786,3.160827791702102,0.2638774514198303,9.990832328796387
Apartment,XGBoost,0.6541153192520142,1.7650243043899536,3.1203155502281503,0.2704642713069916,9.736369132995605
Landed House,Transformer,0.7284584045410156,3.2917823791503906,6.157641877968745,0.3006708025932312,37.91655349731445
Landed House,XGBoost,0.6717101335525513,3.3539435863494873,6.770565211538207,0.28536954522132874,45.840553283691406
