Loại BĐS,Mô hình,R2,MAE,RMSE,MAPE,MSE
Chung cư,Transformer HN,0.5944685935974121,1.8690574169158936,2.947783144745357,0.2140413522720337,8.689425468444824
Chung cư,XGBoost HN,0.6142959594726562,1.8072108030319214,2.8748180497685243,0.20874391496181488,8.264578819274902
Chung cư,Transformer Full,0.6719271540641785,1.765027642250061,2.651358285119723,0.19583013653755188,7.029700756072998
Nhà đất,Transformer HN,0.6740478873252869,5.105658054351807,9.000392905241997,0.2961479723453522,81.00707244873047
Nhà đất,XGBoost HN,0.7347482442855835,4.736904144287109,8.119208516600319,0.3016023635864258,65.92154693603516
Nhà đất,Transformer Full,0.7446452379226685,4.998381614685059,7.966297924281278,0.3081475794315338,63.4619026184082
